"state_fips","state_usps","county_fips","county_name","cwa","time_zone","feature_area","latitude","longitude"
"39","OH","063","Hancock","CLE","E","nw",41.0019105233,-83.6664850277
"39","OH","065","Hardin","ILN","E","wc",40.6614975957,-83.6594342925
"39","OH","067","Harrison","PBZ","E","ec",40.2938455828,-81.0911229605
"39","OH","069","Henry","IWX","E","nw",41.3338557484,-84.068237676
"39","OH","071","Highland","ILN","E","sw",39.1847694695,-83.6009392286
"39","OH","073","Hocking","ILN","E","cc",39.496980498,-82.4791478062
"39","OH","075","Holmes","CLE","E","ne",40.5612178336,-81.9293884011
"39","OH","077","Huron","CLE","E","nc",41.1462103058,-82.5984071568
"39","OH","079","Jackson","RLX","E","se",39.0196918956,-82.6184086297
"39","OH","081","Jefferson","PBZ","E","ec",40.3850185739,-80.7609950854
"39","OH","083","Knox","CLE","E","nc",40.3987752765,-82.4215562604
"39","OH","085","Lake","CLE","E","ne",41.6968424611,-81.2370167497
"39","OH","087","Lawrence","RLX","E","se",38.5985252573,-82.5368020055
"39","OH","089","Licking","ILN","E","cc",40.0917623371,-82.4834966258
"39","OH","091","Logan","ILN","E","wc",40.3884683673,-83.7657771196
"39","OH","093","Lorain","CLE","E","nc",41.2955351683,-82.151185511
"39","OH","095","Lucas","CLE","E","nw",41.620032031,-83.6585949198
"39","OH","097","Madison","ILN","E","cc",39.8941582912,-83.3998747209
"39","OH","099","Mahoning","CLE","E","ne",41.0146211423,-80.7752510511
"39","OH","101","Marion","CLE","E","nc",40.5872554607,-83.1608701596
"39","OH","103","Medina","CLE","E","ne",41.117647176,-81.8996591797
"39","OH","105","Meigs","RLX","E","se",39.0821322663,-82.0229099389
"39","OH","107","Mercer","ILN","E","wc",40.5400224201,-84.6293454948
"39","OH","109","Miami","ILN","E","wc",40.0534290294,-84.228900948
"39","OH","111","Monroe","PBZ","E","ec",39.7273628823,-81.0828888582
"39","OH","113","Montgomery","ILN","E","wc",39.7545315845,-84.2906151611
"39","OH","115","Morgan","RLX","E","se",39.6203333769,-81.8526507891
"39","OH","117","Morrow","CLE","E","nc",40.5240147448,-82.7940848117
"39","OH","119","Muskingum","PBZ","E","ec",39.9654319012,-81.9443808327
"39","OH","121","Noble","PBZ","E","ec",39.7659678437,-81.4555499357
"39","OH","123","Ottawa","CLE","E","nw",41.5381349373,-83.1466841345
"39","OH","125","Paulding","IWX","E","wc",41.1166209877,-84.5801447419
"39","OH","127","Perry","RLX","E","se",39.7371329089,-82.2361275001
"39","OH","129","Pickaway","ILN","E","cc",39.6419605513,-83.0243436101
"39","OH","131","Pike","ILN","E","sw",39.077384017,-83.0668368325
"39","OH","133","Portage","CLE","E","ne",41.1675998211,-81.1961711709
"39","OH","135","Preble","ILN","E","wc",39.7415872323,-84.648084848
"39","OH","137","Putnam","IWX","E","wc",41.0220757339,-84.1316970795
"39","OH","139","Richland","CLE","E","nc",40.7747475959,-82.5365071863
"39","OH","141","Ross","ILN","E","sw",39.3376429716,-83.0569907805
"39","OH","143","Sandusky","CLE","E","nw",41.3565038794,-83.1450287719
"39","OH","145","Scioto","ILN","E","sw",38.8040066032,-82.9928445066
"39","OH","147","Seneca","CLE","E","nw",41.123899676,-83.1276872109
"39","OH","149","Shelby","ILN","E","wc",40.3315547198,-84.204763873
"39","OH","151","Stark","CLE","E","ne",40.8138479185,-81.3659146724
"39","OH","153","Summit","CLE","E","ne",41.1259045115,-81.5321042259
"39","OH","155","Trumbull","CLE","E","ne",41.3173975201,-80.7604435988
"39","OH","157","Tuscarawas","PBZ","E","ec",40.4409966311,-81.4737729779
"39","OH","159","Union","ILN","E","cc",40.2994895049,-83.371471754
"39","OH","161","Van Wert","IWX","E","wc",40.8553896273,-84.5860666894
"39","OH","163","Vinton","RLX","E","se",39.2509943668,-82.4853722344
"39","OH","165","Warren","ILN","E","sw",39.4276700031,-84.166824241
"39","OH","167","Washington","RLX","E","se",39.4553058794,-81.4952999544
"39","OH","169","Wayne","CLE","E","ne",40.8289226268,-81.8882730186
"39","OH","171","Williams","IWX","E","nw",41.5603370842,-84.5881787637
"39","OH","173","Wood","CLE","E","nw",41.3616909117,-83.6229557367
"39","OH","175","Wyandot","CLE","E","nw",40.8424215412,-83.3043687242
"40","OK","001","Adair","TSA","C","ne",35.8839312843,-94.6586657743
"40","OK","003","Alfalfa","OUN","C","nw",36.7310102477,-98.3239586041
"40","OK","005","Atoka","OUN","C","se",34.373703254,-96.0378211662
"40","OK","007","Beaver","AMA","C","pa",36.7496814524,-100.476717444
"40","OK","009","Beckham","OUN","C","ww",35.2686689788,-99.6819562492
"40","OK","011","Blaine","OUN","C","nw",35.8752493857,-98.433475422
"40","OK","013","Bryan","OUN","C","se",33.9623162549,-96.2600150055
"40","OK","015","Caddo","OUN","C","sw",35.1743629698,-98.3750842949
"40","OK","017","Canadian","OUN","C","cc",35.5425418645,-97.9824513122
"40","OK","019","Carter","OUN","C","ss",34.2508617624,-97.2857679084
"40","OK","021","Cherokee","TSA","C","ec",35.9066204682,-94.9996558783
"40","OK","023","Choctaw","TSA","C","se",34.0264866466,-95.5521136065
"40","OK","025","Cimarron","AMA","C","pa",36.748328845,-102.517757923
"40","OK","027","Cleveland","OUN","C","cc",35.2035572838,-97.3270998096
"40","OK","029","Coal","OUN","C","se",34.5882414094,-96.2978679481
"40","OK","031","Comanche","OUN","C","sw",34.6620635052,-98.4716936424
"40","OK","033","Cotton","OUN","C","sw",34.2902463559,-98.3721135335
"40","OK","035","Craig","TSA","C","ne",36.7617231443,-95.2085471676
"40","OK","037","Creek","TSA","C","ne",35.9026971007,-96.3709044437
"40","OK","039","Custer","OUN","C","ww",35.6388850218,-99.0014762878
"40","OK","041","Delaware","TSA","C","ne",36.4082284696,-94.8026519913
"40","OK","043","Dewey","OUN","C","nw",35.9876740929,-99.0079522672
"40","OK","045","Ellis","OUN","C","nw",36.2183498085,-99.7546156593
"40","OK","047","Garfield","OUN","C","nn",36.3790364494,-97.7827917682
"40","OK","049","Garvin","OUN","C","ss",34.7045327609,-97.3092761161
"40","OK","051","Grady","OUN","C","cc",35.0170093259,-97.8840595992
"40","OK","053","Grant","OUN","C","nn",36.7961510123,-97.7860992687
"40","OK","055","Greer","OUN","C","sw",34.9357150349,-99.5608879055
"40","OK","057","Harmon","OUN","C","sw",34.7440796352,-99.8463098676
"40","OK","059","Harper","OUN","C","nw",36.7886826157,-99.6673092719
"40","OK","061","Haskell","TSA","C","se",35.2248304576,-95.1166223826
"40","OK","063","Hughes","OUN","C","se",35.0484214075,-96.2502046611
"40","OK","065","Jackson","OUN","C","sw",34.5880393667,-99.4147492505
"40","OK","067","Jefferson","OUN","C","ss",34.1110549303,-97.8358504013
"40","OK","069","Johnston","OUN","C","se",34.3165039721,-96.6606366963
"40","OK","071","Kay","OUN","C","nn",36.8179783871,-97.1439073775
"40","OK","073","Kingfisher","OUN","C","cc",35.9453830101,-97.9421126742
"40","OK","075","Kiowa","OUN","C","sw",34.9163181686,-98.9808246968
"40","OK","077","Latimer","TSA","C","se",34.876052122,-95.2504142344
"40","OK","079","Le Flore","TSA","C","se",34.900119763,-94.7034884163
"40","OK","081","Lincoln","OUN","C","cc",35.7030135249,-96.880927753
"40","OK","083","Logan","OUN","C","cc",35.9193579643,-97.4433426334
"40","OK","085","Love","OUN","C","ss",33.9499364549,-97.2441973625
"40","OK","087","McClain","OUN","C","cc",35.0087306193,-97.4436383901
"40","OK","089","McCurtain","SHV","C","se",34.1150528285,-94.7711671591
"40","OK","091","McIntosh","TSA","C","se",35.3737368562,-95.6667910493
"40","OK","093","Major","OUN","C","nw",36.3116301504,-98.5360307606
"40","OK","095","Marshall","OUN","C","se",34.024507084,-96.7690559017
